Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
I51,"Full-time equivalent telecommunication employees, total ",GNB,Guinea-Bissau,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,195,285,225,265,282,268,254,295,250,239,237,228,243,..,..,..,..,..,..,..,..,..,..,..,..,..,..
I51,"Full-time equivalent telecommunication employees, total ",GUY,Guyana,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1233,1250,..,1220,1200,1190,1190,..,..,..,1133,1000,1000,635,717,726,745,723,713,670,658,645,650,650,625,..,..,750,804,806,722,..,..,..,..
I51,"Full-time equivalent telecommunication employees, total ",HTI,Haiti,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1000,..,..,..,..,..,..,1776,..,2040,2040,2040,..,2800,2600,2600,2800,3000,3500,4000,4500,5000,5000,..,..,..,..,..,..,..,..,..,..,..
I51,"Full-time equivalent telecommunication employees, total ",HND,Honduras,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2525,3149,3215,3352,3442,3447,3662,4078,4188,4293,4349,4437,4421,4400,4801,4730,4544,4758,4486,4444,4232,3465,5167,4760,5892,9474,10598,12796,..,..,8604,8288,7017,11579,10955
I51,"Full-time equivalent telecommunication employees, total ",HKG,"Hong Kong, China",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7463,7512,8344,8956,9895,11025,11943,15460,15371,15361,20583,20012,20653,23128,25658,28014,26006,30374,30541,34274,36129,39363,36565,35780,36453,38625,26042,17756,20684,19240,18701,15862,16054,15995,17437,17039,18048,18372,18209,18177
I51,"Full-time equivalent telecommunication employees, total ",HUN,Hungary,43633,..,..,..,..,46957,..,..,..,..,54252,..,..,..,..,59548,55000,55000,56000,58000,64510,64630,65585,66465,67408,68642,70968,71946,72509,21352,22052,21860,20458,24169,23797,22373,20014,21765,21350,21526,20847,20618,20784,19508,18351,15708,14269,14156,13589,..,..,..,..,..,..
I51,"Full-time equivalent telecommunication employees, total ",ISL,Iceland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1350,1420,1400,1380,1360,1320,1059,1480,1462,1482,1469,1476,1487,1500,2313,959,985,995,995,1003,1010,999,932,1179,1333,1379,1305,..,..,1567,1516,1440,1620,1337,1323,1269,1251,1238,1204,1461
I51,"Full-time equivalent telecommunication employees, total ",IND,India,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,216766,231231,239103,248975,263659,280439,258187,283221,298463,303382,305883,312303,343478,362000,370000,374970,372820,384933,395064,418695,421058,428835,425303,424007,421360,423027,416642,..,..,..,..,..,..,..,..,..,..,..,..,..
I51,"Full-time equivalent telecommunication employees, total ",IDN,Indonesia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23800,26000,25100,26000,26700,26900,26660,28486,29973,36562,37411,40344,42328,41567,41815,41054,41134,41002,40810,44190,39839,40009,40309,40468,40317,39908,39820,40934,37150,37195,..,..,..,..,..,..,51729,..,..,..
I51,"Full-time equivalent telecommunication employees, total ",IRN,Iran (Islamic Rep. of),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,35898,..,32160,33249,38660,..,47094,48465,57237,64244,65424,64325,61370,58051,51341,48136,47691,47612,47392,47314,47641,47325,46164,44277,42918,41614,..,..,..,32842,34982,35513,40991,54474
I51,"Full-time equivalent telecommunication employees, total ",IRQ,Iraq,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15868,14354,14000,13319,13095,12778,13386,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16081,15918,16343,16363,17289,17464,..,..,..,..
I51,"Full-time equivalent telecommunication employees, total ",IRL,Ireland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13990,15230,15180,19650,17996,18932,18205,17510,16165,15298,14615,14269,14215,13544,13425,13033,13069,12662,11707,11560,10995,12055,15000,17450,16300,14900,14656,14467,..,..,..,..,13200,12700,11400,11000,9600,9440
I51,"Full-time equivalent telecommunication employees, total ",ISR,Israel,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9200,9020,8780,875,8680,8230,7801,8095,8137,8335,8347,8875,9028,9340,9201,9552,10082,10345,10148,9855,8987,8621,8335,7484,6816,11940,12180,14007,14402,14618,..,..,..,..,..,..,35374.08,..,..,..
I51,"Full-time equivalent telecommunication employees, total ",ITA,Italy,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100000,101000,100000,101000,102000,104000,104000,104480,107040,108782,109792,110232,109680,113676,116391,117986,120300,120000,111500,105500,101900,100005,94101,92050,79029,75805,..,..,87954,94022,86531,85903,69836,86471,80044,75371,70325,66949,65206,..
I51,"Full-time equivalent telecommunication employees, total ",JAM,Jamaica,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2000,..,..,2000,2100,..,2369,2345,..,3585,3912,3462,3686,4166,4229,4212,4095,3911,3570,3189,3207,2599,2387,3000,..,..,..,..,..,..,..,..,..,..,..
I51,"Full-time equivalent telecommunication employees, total ",JPN,Japan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,323000,328000,332000,334000,335000,333686,333954,329500,324600,320900,311316,305077,300000,286000,276992,272253,266053,252970,240352,220686,218416,217153,183227,177108,173387,155154,266471,202779,114440,120087,120000,121349,116912,112454,81290,69045,81274,82162,..,..
I51,"Full-time equivalent telecommunication employees, total ",GBJ,Jersey,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,370,310,290,280,270,290,..,..,292,302,..,..,..,..,..,..,..,302,302,313,321,321,328,334,407,428,450,..,..,..,..,..,..,..,..,..,..,..,..,..
I51,"Full-time equivalent telecommunication employees, total ",JOR,Jordan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2915,3045,3310,3265,3249,3315,3324,3389,3842,3475,3436,3461,3553,3787,4317,4652,4883,5263,5615,5809,6200,6318,6177,5251,5094,5325,5392,5219,5280,5756,4739,4600,4596,4214,4304
I51,"Full-time equivalent telecommunication employees, total ",KAZ,Kazakhstan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38845,41500,45470,46996,50678,45960,44100,37887,33301,30870,31177,32193,33006,51100,..,51043,50490,72500,51298,50700,51300,52100,50600,48100
I51,"Full-time equivalent telecommunication employees, total ",KEN,Kenya,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5356,6210,7890,8170,9250,9870,10520,11634,12175,12714,12958,13000,13000,16767,14236,13978,12158,13741,18831,19829,20025,19337,18756,18756,20162,22197,9260,6519,7201,7868,7071,7689,6765,6891,7863
I51,"Full-time equivalent telecommunication employees, total ",KIR,Kiribati,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,108,123,126,120,..,128,120,..,98,96,93,99,101,103,120,123,124,122,130,156,..,..,..,..,..,..,..,..,..,..,..,..,..
I51,"Full-time equivalent telecommunication employees, total ",KOR,Korea (Rep. of),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36968,42761,45205,47688,50101,51806,52073,53319,55457,57943,59261,59907,60058,62078,70712,73323,69591,68959,69465,68779,109402,103574,89695,93292,96262,103438,110741,109729,113482,117445,119215,121048,119473
I51,"Full-time equivalent telecommunication employees, total ",KWT,Kuwait,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3520,6400,6680,6746,6723,6663,6646,6672,6872,6888,..,6632,7425,7430,7350,7292,7485,8397,8653,7632,7695,7378,7294,7321,7386,7477,..,..,..,..,..,..,..,..,..
I51,"Full-time equivalent telecommunication employees, total ",KGZ,Kyrgyzstan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13343,13387,12376,7830,7763,7000,6727,6722,6685,7162,7263,7740,7803,7536,7443,7340,6900,8518,13652,13834,13049,13162,11756,11101,10486
I51,"Full-time equivalent telecommunication employees, total ",LAO,Lao P.D.R.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,282,269,300,760,793,758,776,620,604,641,601,855,910,1074,1075,1138,1140,1359,1379,1400,1416,1439,1472,2300,2400,2600,2767,2366,2449,4963,5290
I51,"Full-time equivalent telecommunication employees, total ",LVA,Latvia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7109,7103,7076,7104,6605,6365,5350,4889,4555,4322,4041,3904,2903,2814,3561,4077,4890,4798,4333,..,4314,4432,4457,4241
I51,"Full-time equivalent telecommunication employees, total ",LBN,Lebanon,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4300,4500,4000,3500,3500,4000,5000,5000,5700,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
I51,"Full-time equivalent telecommunication employees, total ",LSO,Lesotho,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,559,..,..,530,531,532,572,623,632,728,772,834,818,796,820,796,850,632,425,357,349,349,359,359,274,268,..,..,..,..,148,210,364,..,294
I51,"Full-time equivalent telecommunication employees, total ",LBR,Liberia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1006,1043,1012,449,527,..,..,610,670,722,..,..,..,..,..,..,..,..,..,..,..,..,..,..,817,867,..
I51,"Full-time equivalent telecommunication employees, total ",LBY,Libya,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7000,7200,..,..,7782,..,..,8000,..,8886,..,..,10000,12000,13000,14000,14000,14000,..,..,..,..,..,2817,..,..,..,..,..,..,..,..
I51,"Full-time equivalent telecommunication employees, total ",LIE,Liechtenstein,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18,20,20,20,20,20,65,80,100,105,110,..,..,..,140,140,..,..,..,..,..,..,132
I51,"Full-time equivalent telecommunication employees, total ",LTU,Lithuania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9400,9659,9750,9880,9855,9890,9896,9196,6956,6042,5303,..,..,..,..,13800,14200,..,..,23900,6604,6597,6488,..
I51,"Full-time equivalent telecommunication employees, total ",LUX,Luxembourg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,540,563,593,621,631,629,634,639,651,569,675,745,750,775,780,812,845,850,860,870,800,816,828,866,877,888,1487,..,1660,1360,1400,1350,1350,1400,1600,1615,..,1785,1939,2530
I51,"Full-time equivalent telecommunication employees, total ",MAC,"Macao, China",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,479,614,610,..,570,551,597,665,751,905,919,1011,1027,977,990,992,957,955,1002,1235,1037,1031,1090,1111,1200,1184,1208,1211,1229,1193,1335,1448,1576
I51,"Full-time equivalent telecommunication employees, total ",MDG,Madagascar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2700,2711,..,3367,..,2381,..,3069,3400,3400,2475,2815,3157,3285,2874,2888,2879,2663,2491,2387,2313,..,..,2985,2758,2581,2323,2452,2325,2361,2560,2587
I51,"Full-time equivalent telecommunication employees, total ",MWI,Malawi,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,565,693,803,1005,999,1203,1248,1214,1553,1630,1630,2031,2031,4002,4002,4002,4500,4700,4800,5000,2914,3180,3218,..,..,..,..,..,..,..,..,..,..,..,..
I51,"Full-time equivalent telecommunication employees, total ",MYS,Malaysia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18300,20600,22200,26970,29810,30311,30244,29398,28059,28315,28168,28041,28075,28797,29577,30186,29575,28846,27516,27484,27089,25442,24789,21237,20708,24368,24754,41866,..,..,..,..,..,..,..,61390,..
I51,"Full-time equivalent telecommunication employees, total ",MDV,Maldives,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,114,..,..,150,166,..,..,..,..,240,254,268,302,337,384,445,399,497,550,532,523,519,516,516,..,..,982,..,..,..,..,1044,..,..
I51,"Full-time equivalent telecommunication employees, total ",MLI,Mali,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1244,1294,1555,1465,1421,1402,1350,1338,1357,1360,1325,1353,1357,1364,1533,1600,1684,1713,1788,1752,1710,1111,1167,1140,1113,1160,1136
I51,"Full-time equivalent telecommunication employees, total ",MLT,Malta,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,510,605,868,1080,1371,1386,1412,1412,1496,1568,1606,1613,1776,1764,1938,1893,1863,1846,1826,1833,1754,1678,1911,1975,1977,1835,1730,1748,1837,1916,..,1793,1744,1755,1687,1589,1541,1545
I51,"Full-time equivalent telecommunication employees, total ",MHL,Marshall Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,64,74,85,113,111,111,114,114,112,111,101,103,110,110,..,..,..,..,..,..,..,..,..,..,..
I51,"Full-time equivalent telecommunication employees, total ",MRT,Mauritania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,374,378,380,..,..,..,345,..,399,392,400,410,456,451,443,456,454,480,720,735,783,730,773,784,861,..,763,763,809,787,753,..,..
I51,"Full-time equivalent telecommunication employees, total ",MUS,Mauritius,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,723,990,1102,1104,1116,1117,1117,..,961,1132,1016,..,920,1232,941,1339,1337,1391,1420,1465,1673,1729,1801,1839,1770,1838,1859,1811,1592,1997,2061,..,..,..,..,..,..,1209,..,14747
I51,"Full-time equivalent telecommunication employees, total ",MEX,Mexico,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20660,22078,23405,24870,26006,27568,29566,31385,32509,34689,37487,40662,44700,49995,49203,49912,49488,48937,48771,48810,49016,54758,63229,74781,88684,..,94655,90503,89913,92858,100892,101396,109639,116553,120072,123534,128934,132567,..,..
I51,"Full-time equivalent telecommunication employees, total ",FSM,Micronesia (Fed. States of),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,121,128,130,137,142,139,134,135,134,127,130,132,134,138,..,..,148,152,..,..,..,..,..,..,..
I51,"Full-time equivalent telecommunication employees, total ",MDA,Moldova,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8407,7000,6703,7322,7524,7606,7739,7754,7600,7414,7243,7474,7484,7502,8077,9480,10063,10361,11072,9386,8537,7883,7586,7604
I51,"Full-time equivalent telecommunication employees, total ",MCO,Monaco,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,102,..,109,109,109,109,..,..,..,..,..,..,..,134,135,135,142,160,170,183,200,356,..,..,..,..,..,..,..,..,..,276,288,278,277
I51,"Full-time equivalent telecommunication employees, total ",MNG,Mongolia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5800,6000,6022,5649,5374,5300,5100,5000,4853,4639,4556,4508,4206,3935,4680,4860,6850,6950,5000,7150,7260,7650,7905,..,..
I51,"Full-time equivalent telecommunication employees, total ",MNE,Montenegro,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
I51,"Full-time equivalent telecommunication employees, total ",MAR,Morocco,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5223,5139,6100,6284,6437,6919,7033,7734,8317,10347,11484,12632,13396,14626,14772,14208,14150,14068,14511,16200,13089,12910,12963,..,..,12434,12776,12932,12901,12943,11557,11437,11196
I51,"Full-time equivalent telecommunication employees, total ",MOZ,Mozambique,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10430000,10870000,11310000,11760000,12205000,..,1950,2049,2000,2140,2403,2416,2373,2997,2932,2743,2590,2640,2486,2418,2486,2416,2202,2257,2240,2287,2308,2136,2078,1982,2599,2455,2457,2492,2491,4466,4521,..,..,..
I51,"Full-time equivalent telecommunication employees, total ",MMR,Myanmar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6927,6900,..,5437,5714,6927,6397,6478,6500,5367,5858,6053,7082,7204,7453,7630,7780,7780,7956,7918,7863,7866,7806,13295,13450,13130,12695,..,12107,..,..,..
I51,"Full-time equivalent telecommunication employees, total ",NAM,Namibia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2526,..,1709,1818,2300,2050,1879,1689,1673,1818,1728,1667,1654,1503,..,..,1350,..,..,..,1681,1670,1651,1679,1730,1680
I51,"Full-time equivalent telecommunication employees, total ",NRU,Nauru,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,42,42,44,47,48,48,..,50,..,..,..,55,55,55,..,58,55,50,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
I51,"Full-time equivalent telecommunication employees, total ",NPL,Nepal,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2106,2290,2378,2546,..,2999,..,3424,3502,3546,3413,3599,3483,3877,4078,4151,4529,4679,4648,4633,4687,4772,4860,4903,6988,7024,..,9856,10235,..,5471,6629,7500
I51,"Full-time equivalent telecommunication employees, total ",NLD,Netherlands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25400,25695,26110,26766,27395,27902,27936,27457,27677,27760,28774,29674,29833,29142,28977,29262,30819,32327,31981,31671,30548,29690,33753,42300,48800,58500,..,..,..,..,..,..,..,..,..,..,..,..,..,..
I51,"Full-time equivalent telecommunication employees, total ",ANT,Netherlands Antilles,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,400,..,..,800,816,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
I51,"Full-time equivalent telecommunication employees, total ",NCL,New Caledonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,250,..,..,..,..,..,..,..,238,261,271,264,270,290,285,281,285,275,288,293,323,..,234,..,..,..,..,..,..,..,..,..,..,..
I51,"Full-time equivalent telecommunication employees, total ",NZL,New Zealand,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22740,24660,24110,24440,24910,24890,24582,24284,24131,23051,23932,24165,23900,18144,16263,14925,13562,12338,9257,8308,8526,8710,8136,7799,6774,5353,5242,5074,5040,5019,6502,9647,10035,10537,10954,11379,11940,11062,11406,11164
I51,"Full-time equivalent telecommunication employees, total ",NIC,Nicaragua,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3500,3661,..,3800,3971,..,..,..,..,..,3500,3088,3255,3154,3062,3204,3106,3110,2923,2318,2239,2135,2087,2013,..,..,..,..,..,..,..,..,..,..,..
I51,"Full-time equivalent telecommunication employees, total ",NER,Niger,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,916,1878,1400,1009,1107,..,..,1269,..,..,1178,1191,1175,1191,1195,1201,1411,1406,1389,1371,1338,979,1005,..,1062,..,..,..,..,..,..,..,..,..
I51,"Full-time equivalent telecommunication employees, total ",NGA,Nigeria,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17000,17300,17622,21737,17295,17215,16895,16413,16207,15800,15096,14321,14251,14321,12865,11634,11350,11587,11528,12050,15792,..,..,..,..,..,..,..,9241,14477,13814,12549
I51,"Full-time equivalent telecommunication employees, total ",MNP,Northern Marianas Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,120,107,109,116,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
I51,"Full-time equivalent telecommunication employees, total ",NOR,Norway,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15700,16500,17300,17800,18100,18300,18123,17933,17897,17302,17168,17692,18373,16457,16252,15769,15168,14798,18561,16783,18771,19624,21268,22533,23851,22377,22214,15101,15338,15069,..,..,..,..,..,..,13024,12979,13134,15000
I51,"Full-time equivalent telecommunication employees, total ",OMN,Oman,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1183,1336,1373,1497,1813,1895,1759,1767,1881,1969,1991,2067,2296,2446,2436,2454,2151,2108,2100,2070,2061,2050,2171,..,1799,2944,3142,3228,3612,3598,3720,3959,3819,3834,4007
I51,"Full-time equivalent telecommunication employees, total ",PAK,Pakistan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,35920,36323,36667,37617,39123,41032,42790,44690,47502,49717,54084,49522,51589,47766,52116,54478,52853,54669,55400,66700,67300,69450,73200,76350,..,..,..,53377,51823,..,..,40820,39216,36526
I51,"Full-time equivalent telecommunication employees, total ",PLW,Palau,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,97,92,..,96,94,96,96,93,90,88
I51,"Full-time equivalent telecommunication employees, total ",WBG,Palestine,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,406,560,580,846,1382,1972,1701,1661,1604,1563,1529,1599,1623,1561,..,..,3022,3442,..,..,..
I51,"Full-time equivalent telecommunication employees, total ",PAN,Panama,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3100,3290,3396,3485,3696,3791,3807,3814,3752,3707,3821,3711,3720,3666,3689,3632,3606,3689,4621,5380,5500,5623,5764,6173,6543,6562,6739,5719,6726,..,5885,5150,5162,5380,4585
I51,"Full-time equivalent telecommunication employees, total ",PNG,Papua New Guinea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1053,1317,1350,1335,1327,1464,1475,1339,1428,1957,1795,1675,3024,3256,1637,1428,1472,1545,1397,1695,2026,2047,..,1790,1790,1790,..,..,..,..,..,..,..,..,..,..,..,..,..,..
I51,"Full-time equivalent telecommunication employees, total ",PRY,Paraguay,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2126,2131,2181,2432,2699,2944,3134,3350,3551,3978,4488,4698,4968,5110,7647,6978,6839,6715,6842,6695,6600,6342,6187,6125,5883,..,11733,..,..,..,..,4461,..,..,..,..,..,..,..,..
I51,"Full-time equivalent telecommunication employees, total ",PER,Peru,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7420,7520,7560,..,..,..,..,11976,12356,12622,13286,13650,13719,15611,15926,15856,14201,12662,12051,8894,8456,6286,5836,6454,5735,6330,5429,..,10527,11007,11692,17909,..,..,26293,25201,25931,18721,20101,27091
I51,"Full-time equivalent telecommunication employees, total ",PHL,Philippines,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12760,13720,15640,16920,23790,27220,28545,29358,28055,26046,13563,12589,13551,14586,16079,17243,17501,18387,19538,20312,19392,18273,15711,14073,18766,19747,21416,21392,21839,23389,..,..,..,..,18290,..,..,..,..,..
I51,"Full-time equivalent telecommunication employees, total ",POL,Poland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,54600,56000,55800,56700,57900,59000,60000,60000,61500,62200,63000,63300,63900,64400,65000,65000,66548,68863,71500,72284,73267,73695,72875,73018,71892,69013,..,175385,161300,..,..,85193,83489,71728,71283,57792,60107,56461,64407,44699
I51,"Full-time equivalent telecommunication employees, total ",PRT,Portugal,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19900,20300,21300,22400,22700,22800,22940,23800,23799,23252,23208,23229,22820,23053,23011,22969,23068,23440,22520,22761,21243,20900,20807,21476,19647,18481,18652,18125,15423,14778,13937,13404,12953,12801,12735,12678,12176,13957,13900,13670
I51,"Full-time equivalent telecommunication employees, total ",PRI,Puerto Rico,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7269,7568,7662,9103,8962,8345,8217,7977,8102,7971,7863,..,..,5748,5093,..,..,..,..,..,..,9937,9842,9302,9234,9571,8061,9230
I51,"Full-time equivalent telecommunication employees, total ",QAT,Qatar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1454,1469,1522,1228,1400,1376,1408,1474,1481,1472,1463,1480,1537,1560,1619,1659,1714,1707,1659,1728,1788,1666,1717,1806,1922,1904,2048,2484,2502,..,..,..,..
I51,"Full-time equivalent telecommunication employees, total ",ROM,Romania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38300,38300,..,40000,40000,..,..,..,42800,51765,51765,55049,53617,53551,53466,53648,53588,52149,48411,44919,42303,43819,36934,43188,..,41386,43283,44000,39000,36000,33000,42000,41000,40000,39000
I51,"Full-time equivalent telecommunication employees, total ",RUS,Russia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,490000,480000,407300,424469,431374,442185,444383,447621,444500,432900,427700,..,..,404681,385890,364600,..,..,394905,364430,344709,337511,340411,305749,316200
I51,"Full-time equivalent telecommunication employees, total ",RWA,Rwanda,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,480,480,..,520,540,550,472,377,512,514,523,502,507,558,549,568,619,593,650,760,400,300,250,250,300,300,350,..,..,..,530,565,633,686,761,922,942,761,845,870
I51,"Full-time equivalent telecommunication employees, total ",KNA,Saint Kitts and Nevis,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,100,96,100,100,100,100,100,100,100,100,210,206,209,192,165,168,..,147,..,..,..,..,159,157,178,136,127,..,..,..,..
I51,"Full-time equivalent telecommunication employees, total ",LCA,Saint Lucia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,180,176,..,..,..,251,..,..,..,300,175,394,387,413,417,377,..,..,..,..,..,..,..,541,557,621,573,520,519,500,425,361
I51,"Full-time equivalent telecommunication employees, total ",WSM,Samoa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,197,198,..,195,174,167,200,250,260,210,200,185,252,251,..,..,..,..,..,..,..,..,..,..,..
I51,"Full-time equivalent telecommunication employees, total ",SMR,San Marino,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,50,60,65,67,67,68,68,70,70,70,70,75,75,78,88,88,..,..,..,..,..,..,..
