"","country","country_name","iso2c","year","b","se","pop.dens","gov.exp","trade","gdp.growth","gdppc","fem.lab","pop","non.agri","net100hab","bb100hab","mobile100hab","fixed100hab"
"1","DZA","Algeria","DZ",2000,-1.10124855701666,0.0292894343159534,13.0334272422683,13.5834505505166,62.860745986322,3.8,8571.78973280726,13.5178160529942,31042235,91.6040161032158,0.491705679141589,NA,0.277041907581719,5.67396967389751
"2","DZA","Algeria","DZ",2001,-1.11183424760151,0.0311797893807341,13.2052675774854,14.7757380772142,58.7007948523846,3,8714.05225815462,13.7329188570284,31451514,90.2512301286904,0.646114016703792,NA,0.317949717778292,5.97745469423189
"3","DZA","Algeria","DZ",2002,-1.12173937828763,0.0355058897509109,13.3747214221536,15.4859821349606,61.1346953214823,5.59999999988446,9085.45201471556,13.990818974377,31855109,90.7734146988591,1.59164126035832,NA,1.41341220963959,6.12146704630645
"4","DZA","Algeria","DZ",2003,-1.13087654007717,0.041736731586345,13.5464647694543,14.804660726525,62.1258853095728,7.19999999958429,9616.12494221774,14.2861214289831,32264157,90.1892468205011,2.19535973086144,0.0557894632114516,4.48462670200867,6.44512112930767
"5","DZA","Algeria","DZ",2004,-1.13918642734362,0.049352469789869,13.7261678436773,13.7727472313021,65.7006716430047,4.29999999977298,9898.31048976233,14.6172227485725,32692163,90.5612203411881,4.63447508776537,0.110118134428731,14.9345089219089,7.60647131240597
"6","DZA","Algeria","DZ",2005,-1.14656389808943,0.0579352025925154,13.9182799130048,11.4506744247554,71.2787622322137,5.89999999978468,10337.6249398825,14.9805507290009,33149724,92.3075905845015,5.84394209201256,0.407243209626723,41.2110670966672,7.75873729748097
"7","DZA","Algeria","DZ",2006,-1.15296922586932,0.0672668714255561,14.1245484393763,11.2309592424866,70.7298711992001,1.70000000041344,10359.8321359386,15.3733426597239,33641002,92.4566253014174,7.37598495634886,0.505335720975255,62.4177424917367,8.44593451764606
"8","DZA","Algeria","DZ",2007,-1.1592041051874,0.0749300875643146,14.3453827873739,11.6434474868757,71.9370462637257,3.40000000072681,10547.1637390012,15.8031005885665,34166972,92.4290861657881,9.45119062555304,0.840106638656771,80.6706576163671,8.98062901213488
"9","DZA","Algeria","DZ",2008,-1.16468056833629,0.0827191990218833,14.5820316239388,13.2075300850259,76.6844445249328,2.39999999908618,10625.0198586265,16.2668214669566,34730608,93.4125338428244,10.18,1.39646273972514,77.831842160667,8.83698897525779
"10","DZA","Algeria","DZ",2009,-1.16913240446675,0.0910208934559732,14.8353224953185,16.1446629213483,71.3242375601926,1.60000000106413,10610.7114047657,16.7649666204818,35333881,90.6560995184591,11.23,2.31505845621657,92.6301415912959,7.29092000960777
"11","DZA","Algeria","DZ",2010,-1.1754140279029,0.0939401943279399,15.1055341892902,17.2270589412589,69.8672404016145,3.59999999969583,10796.056814131,16.8792596204974,35977455,91.5332399346209,12.5,2.50156660608706,91.1130734511377,8.12378474241716
"12","DZA","Algeria","DZ",2011,-1.18057585133363,0.0979332317643107,15.3927145700202,20.667626293783,67.4713825484954,2.90000000095189,10901.8802698979,17.831188114867,36661444,91.8897799712112,14.9,2.6751591488006,97.1481784201359,8.34483201630487
"13","DZA","Algeria","DZ",2012,-1.1844835184726,0.103080898893335,15.6960402898721,20.3180811489417,65.4046651079292,3.39999999820542,11054.7024680638,18.8272664410865,37383887,91.2293256506906,18.2,3.08889162030869,100.384679017529,8.79887716354864
"14","DZA","Algeria","DZ",2013,-1.18723553587934,0.108988528248199,16.0135581549623,19.1429549672932,63.6104253389316,2.80000000025291,11138.9033689379,19.2175966150127,38140132,90.1483069936749,22.5,3.3560449304149,103.610139482209,8.21399600258342
